MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TransceiverClass
366972020,2021-07-23T02:56:32,46.71896,-92.15129,1.8,82.8,76.0,ARTHUR M ANDERSON,IMO5025691,WDH7563,70,0,233,21,8.0,70,A
366972020,2021-07-23T01:16:30,46.7243,-92.15784,0.0,260.4,315.0,ARTHUR M ANDERSON,IMO5025691,WDH7563,70,0,233,21,8.0,70,A
366972020,2021-07-23T03:28:41,46.73691,-92.13851,2.4,68.5,66.0,ARTHUR M ANDERSON,IMO5025691,WDH7563,70,0,233,21,8.0,70,A
366972020,2021-07-23T02:58:51,46.7192,-92.14905,2.7,79.0,76.0,ARTHUR M ANDERSON,IMO5025691,WDH7563,70,0,233,21,8.0,70,A
366972020,2021-07-23T03:29:52,46.73724,-92.13729,2.9,68.4,66.0,ARTHUR M ANDERSON,IMO5025691,WDH7563,70,0,233,21,8.0,70,A
366972020,2021-07-23T03:26:08,46.73638,-92.14062,2.1,64.6,54.0,ARTHUR M ANDERSON,IMO5025691,WDH7563,70,0,233,21,8.0,70,A
366972020,2021-07-23T03:31:02,46.73762,-92.1359,3.3,67.9,66.0,ARTHUR M ANDERSON,IMO5025691,WDH7563,70,0,233,21,8.0,70,A
366972020,2021-07-23T03:07:52,46.72387,-92.14332,2.5,4.8,11.0,ARTHUR M ANDERSON,IMO5025691,WDH7563,70,0,233,21,8.0,70,A
366972020,2021-07-23T03:32:12,46.73805,-92.13438,3.6,67.7,65.0,ARTHUR M ANDERSON,IMO5025691,WDH7563,70,0,233,21,8.0,70,A
366972020,2021-07-23T03:12:31,46.72724,-92.14319,2.7,0.6,3.0,ARTHUR M ANDERSON,IMO5025691,WDH7563,70,0,233,21,8.0,70,A
366972020,2021-07-23T03:37:52,46.74037,-92.12675,3.4,66.1,64.0,ARTHUR M ANDERSON,IMO5025691,WDH7563,70,0,233,21,8.0,70,A
366972020,2021-07-23T03:35:41,46.73951,-92.12957,3.5,65.4,65.0,ARTHUR M ANDERSON,IMO5025691,WDH7563,70,0,233,21,8.0,70,A
366972020,2021-07-23T03:36:51,46.73997,-92.12805,3.4,66.8,65.0,ARTHUR M ANDERSON,IMO5025691,WDH7563,70,0,233,21,8.0,70,A
366972020,2021-07-23T03:25:05,46.73605,-92.14142,2.2,50.6,43.0,ARTHUR M ANDERSON,IMO5025691,WDH7563,70,0,233,21,8.0,70,A
